               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10483,            0.033201,            0.037927,           0.0035668,            0.019148,           0.0017434,          0.00056322,            0.087323,            0.035859,            0.031979,            0.070031,           0.0033298,           0.0033298
                   1,            0.086566,            0.033242,            0.033278,           0.0021767,             0.25247,           0.0072906,           0.0018148,             0.06869,            0.020556,            0.023229,            0.040009,           0.0066412,           0.0066412
                   2,            0.076642,             0.03154,            0.027535,             0.31377,             0.11985,               0.119,            0.046498,             0.05906,            0.020106,            0.023583,           0.0099655,           0.0099305,           0.0099305
                   3,            0.062198,            0.029892,            0.021979,             0.26322,             0.17901,             0.18749,            0.084161,            0.046554,            0.016904,            0.017001,            0.009901,            0.009901,            0.009901
                   4,            0.053465,            0.028474,            0.018929,             0.57617,             0.11752,             0.10137,            0.026148,             0.06002,            0.016048,             0.03506,            0.009901,            0.009901,            0.009901
                   5,            0.049015,            0.027453,            0.016008,             0.39626,              0.2481,             0.25235,             0.11296,            0.039135,            0.014686,            0.021081,            0.009868,            0.009868,            0.009868
                   6,             0.04633,            0.026325,            0.013757,             0.29254,             0.29091,             0.26339,             0.13437,            0.036927,            0.015894,            0.016245,            0.009835,            0.009835,            0.009835
                   7,            0.043947,            0.025258,            0.012705,             0.31155,              0.2547,             0.28168,             0.14453,            0.035239,            0.014056,            0.018131,            0.009802,            0.009802,            0.009802
                   8,             0.04237,            0.024685,            0.010939,              0.4509,             0.38139,             0.36358,             0.18954,            0.035098,            0.013585,            0.019433,            0.009769,            0.009769,            0.009769
                   9,            0.040814,            0.024103,           0.0095091,             0.36101,             0.34894,             0.33826,             0.16749,            0.035194,            0.013668,            0.013269,            0.009736,            0.009736,            0.009736
                  10,             0.03896,            0.022908,           0.0087935,             0.36891,             0.42482,             0.36654,             0.17138,            0.034687,             0.01371,             0.01161,            0.009703,            0.009703,            0.009703
                  11,            0.038073,            0.022875,           0.0082414,             0.34906,             0.45944,             0.33991,             0.19041,            0.032539,             0.01322,             0.01605,             0.00967,             0.00967,             0.00967
                  12,            0.037188,            0.022399,           0.0071536,             0.36958,             0.36937,             0.33112,             0.16466,            0.034012,            0.013882,            0.017531,            0.009637,            0.009637,            0.009637
